iter	Passed	Remaining
0	137	137525
1	138	69027
2	138	46184
3	139	34759
4	140	27902
5	140	23335
6	141	20069
7	142	17622
8	142	15722
9	143	14199
10	144	12954
11	144	11916
12	145	11035
13	145	10282
14	146	9627
15	147	9054
16	147	8549
17	148	8101
18	149	7701
19	149	7340
20	150	7014
21	151	6715
22	151	6442
23	152	6189
24	152	5958
25	153	5743
26	153	5544
27	154	5357
28	154	5185
29	155	5025
30	155	4874
31	156	4733
32	157	4601
33	157	4476
34	158	4358
35	158	4248
36	159	4144
37	159	4044
38	160	3950
39	160	3861
40	161	3776
41	162	3695
42	162	3617
43	163	3543
44	163	3472
45	164	3405
46	164	3340
47	165	3278
48	165	3219
49	166	3161
50	166	3106
51	167	3053
52	168	3002
53	168	2953
54	169	2906
55	169	2859
56	170	2815
57	170	2772
58	171	2731
59	171	2691
60	172	2653
61	172	2616
62	173	2579
63	173	2544
64	174	2510
65	175	2477
66	175	2445
67	175	2410
68	176	2380
69	176	2351
70	177	2322
71	177	2294
72	178	2267
73	179	2241
74	179	2215
75	180	2190
76	180	2166
77	181	2142
78	181	2119
79	182	2097
80	182	2074
81	183	2053
82	183	2032
83	184	2011
84	184	1989
85	185	1970
86	185	1949
87	186	1930
88	186	1912
89	187	1894
90	187	1877
91	188	1859
92	188	1842
93	189	1826
94	190	1810
95	190	1794
96	191	1778
97	191	1763
98	192	1748
99	192	1733
100	193	1719
101	193	1702
102	193	1689
103	194	1675
104	195	1662
105	195	1649
106	196	1636
107	196	1623
108	197	1611
109	197	1599
110	198	1587
111	198	1575
112	199	1564
113	199	1553
114	200	1542
115	200	1530
116	201	1519
117	201	1509
118	202	1498
119	202	1487
120	203	1478
121	203	1467
122	204	1456
123	204	1446
124	205	1437
125	205	1428
126	206	1418
127	206	1408
128	207	1399
129	207	1391
130	208	1382
131	208	1374
132	209	1365
133	210	1357
134	210	1348
135	211	1340
136	211	1332
137	212	1324
138	212	1316
139	213	1308
140	213	1301
141	214	1294
142	214	1286
143	215	1279
144	215	1272
145	216	1265
146	216	1258
147	217	1251
148	217	1245
149	218	1238
150	219	1231
151	219	1224
152	220	1218
153	220	1212
154	221	1205
155	221	1199
156	222	1193
157	222	1187
158	223	1181
159	223	1175
160	224	1169
161	224	1163
162	225	1158
163	226	1152
164	226	1146
165	227	1141
166	227	1135
167	228	1130
168	228	1125
169	229	1119
170	229	1114
171	230	1109
172	230	1103
173	231	1098
174	231	1093
175	232	1088
176	232	1083
177	233	1078
178	234	1073
179	234	1068
180	234	1062
181	235	1057
182	235	1052
183	236	1048
184	236	1043
185	237	1039
186	238	1034
187	238	1030
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	241	1008
193	241	1004
194	242	999
195	242	995
196	243	991
197	243	987
198	244	983
199	244	979
200	245	975
201	245	971
202	246	967
203	246	963
204	247	959
205	247	955
206	248	952
207	249	948
208	249	944
209	250	941
210	250	937
211	251	933
212	251	930
213	252	926
214	252	923
215	253	919
216	253	916
217	254	912
218	254	909
219	255	905
220	255	902
221	256	898
222	257	895
223	257	892
224	258	888
225	258	885
226	259	882
227	259	879
228	260	875
229	260	872
230	261	869
231	261	866
232	262	863
233	262	860
234	263	857
235	263	854
236	264	851
237	264	848
238	265	846
239	266	843
240	266	840
241	267	837
242	267	834
243	268	831
244	268	828
245	269	825
246	269	823
247	270	820
248	270	817
249	271	814
250	272	811
251	272	808
252	273	806
253	273	803
254	274	801
255	274	798
256	275	795
257	275	792
258	276	790
259	276	787
260	277	785
261	277	782
262	278	779
263	278	777
264	279	774
265	279	772
